"","Customer ID","Gender","Age","Income (USD/Month)","Transactions","Total Charged","Average Charged","Average KM Travelled","City","Prefered Company"
"1",1,"Male",36,16359,29,17490.13,603.107931034483,24.4251724137931,"NEW YORK NY","Yellow Cab"
"2",2,"Male",31,12069,40,23992.86,599.8215,23.30925,"NEW YORK NY","Yellow Cab"
"3",3,"Female",27,12968,46,24828.35,539.746739130435,22.5523913043478,"NEW YORK NY","Yellow Cab"
"4",4,"Male",33,13803,26,16308.55,627.251923076923,24.8815384615385,"NEW YORK NY","Yellow Cab"
"5",5,"Male",24,9965,31,19310.97,622.934516129032,23.6154838709677,"NEW YORK NY","Yellow Cab"
"6",6,"Male",18,4232,28,13994.6,499.807142857143,19.9285714285714,"NEW YORK NY","Yellow Cab"
"7",7,"Male",31,15104,36,20349.35,565.259722222222,21.8016666666667,"NEW YORK NY","Yellow Cab"
"8",8,"Male",20,7496,35,21286.62,608.189142857143,24.2928571428571,"NEW YORK NY","Yellow Cab"
"9",9,"Male",32,21212,40,23506.39,587.65975,22.9805,"NEW YORK NY","Yellow Cab"
"10",10,"Female",48,12768,24,12907.73,537.822083333333,24.0866666666667,"NEW YORK NY","Yellow Cab"
"11",11,"Female",27,26064,43,24179.21,562.307209302326,23.0672093023256,"NEW YORK NY","Yellow Cab"
"12",12,"Female",45,7426,30,17616.11,587.203666666667,23.6266666666667,"NEW YORK NY","Yellow Cab"
"13",13,"Male",28,8905,34,18683.4,549.511764705882,21.7876470588235,"NEW YORK NY","Yellow Cab"
"14",14,"Male",50,6461,30,16395.6,546.52,20.735,"NEW YORK NY","Yellow Cab"
"15",15,"Male",35,2951,38,25065.32,659.613684210526,25.0452631578947,"NEW YORK NY","Yellow Cab"
"16",16,"Female",18,27285,27,16817.19,622.858888888889,24.0774074074074,"NEW YORK NY","Yellow Cab"
"17",17,"Male",59,23227,34,18537.01,545.206176470588,22.3905882352941,"NEW YORK NY","Yellow Cab"
"18",18,"Male",42,22586,36,20213.82,561.495,23.0213888888889,"NEW YORK NY","Yellow Cab"
"19",19,"Female",47,24898,41,19590.04,477.805853658537,19.4217073170732,"NEW YORK NY","Yellow Cab"
"20",20,"Male",63,17551,30,19766.25,658.875,24.7173333333333,"NEW YORK NY","Yellow Cab"
"21",21,"Male",39,15375,30,14592.12,486.404,18.9383333333333,"NEW YORK NY","Yellow Cab"
"22",22,"Female",34,7627,41,21453.43,523.254390243902,21.2360975609756,"NEW YORK NY","Yellow Cab"
